Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName
Artem Gusev,M,SBD,Wraps,23,20-23,,Amateur Juniors 20-23,82.3,82.5,-170,-170,180,,180,115,120,-122.5,,120,220,235,242.5,,242.5,542.5,3,367.99,363.95,350.23,75.42,Yes,,,WPC-RUS,WPC,2/25/2017,Russia,MOW,Moscow,Megapolis Championship
Artem Gusev,M,D,Raw,25,24-34,24-39,Amateur Open,82.5,82.5,,,,,,,,,,,220,-230,-230,,220,220,1,149.03,147.38,141.81,,Yes,,,WRPF,WRPF,9/8/2018,Russia,,Sudak,Iron Holiday
Artem Gusev,M,SBD,Wraps,23,20-23,,Amateur Juniors 20-23,81.2,82.5,200,210,220,,220,120,122.5,-125,,122.5,235,-245,-245,,235,577.5,1,394.77,390.62,376.12,80.83,Yes,,,WRPF,WRPF,6/2/2017,Russia,MOW,Moscow,European Championships
Artem Gusev,M,SBD,Wraps,23,20-23,,Amateur Open,81.2,82.5,200,210,220,,220,120,122.5,-125,,122.5,235,-245,-245,,235,577.5,3,394.77,390.62,376.12,80.83,Yes,,,WRPF,WRPF,6/2/2017,Russia,MOW,Moscow,European Championships
Artem Gusev,M,D,Raw,23,20-23,,Amateur Juniors 20-23,81.2,82.5,,,,,,,,,,,235,-245,-245,,235,235,1,160.64,158.95,153.05,,Yes,,,WRPF,WRPF,6/2/2017,Russia,MOW,Moscow,European Championships
Artem Gusev,M,SBD,Wraps,24,24-34,24-39,Open,81.2,82.5,220,-225,-227.5,,220,120,125,-127.5,,125,-220,220,235,,235,580,3,396.48,392.31,377.75,81.18,,,,WRPF,WRPF,10/25/2017,Russia,MOW,Moscow,Amateur World Championships
Artem Gusev,M,SBD,Single-ply,23.5,24-34,24-39,Open,89.5,93,,,,,220,,,,,175,,,,,230,625,10,405.27,400.13,383.58,69.18,Yes,,,FPR,IPF,12/3/2014,Russia,LEN,St. Petersburg,St. Petersburg Powerlifting Championships
Wade Likens,M,B,Raw,41,40-44,40-49,M_MR_1_WPC,148.3,140+,,,,,,227.5,237.5,-250,,237.5,,,,,,237.5,1,128.11,131.62,124.56,92.1,,USA,,WPC,WPC,7/19/2014,USA,MI,Detroit,CanAm Bench Press Championship
Wade Likens,M,B,Raw,40,40-44,40-49,M_MR_1_AWPC,138.2,140,,,,,,-215,215,223.5,-232.5,223.5,,,,,,223.5,1,122.93,125.14,119.06,89.01,Yes,USA,,WPC,WPC,7/20/2013,USA,MI,Romulus,CanAm Bench Press Championship
Wade Likens,M,B,Raw,40,40-44,40-49,M_OR_AWPC,138.2,140,,,,,,-215,215,223.5,-232.5,223.5,,,,,,223.5,1,122.93,125.14,119.06,89.01,Yes,USA,,WPC,WPC,7/20/2013,USA,MI,Romulus,CanAm Bench Press Championship
Wade Likens,M,B,Raw,41,40-44,40-49,M_MR_1_WPC,149.2,140+,,,,,,230,240,-250,,240,,,,,,240,1,129.25,132.89,125.7,92.87,,USA,,WPC,WPC,11/10/2014,USA,FL,,World Championships
Wade Likens,M,B,Raw,41,40-44,40-49,M_MR_1_APF,148.78,140+,,,,,,227.5,-235,235,,235,,,,,,235,1,126.65,130.17,123.16,91.02,,USA,,APF,WPC,5/31/2014,USA,TX,,Master Teen & Junior Nationals
Wade Likens,M,B,Raw,42,40-44,40-49,M_MR_1_AWPC,148.4,140+,,,,,,227.5,235,242.5,-253,242.5,,,,,,242.5,1,130.78,134.38,127.16,94.02,Yes,USA,,APF,WPC,7/25/2015,USA,MI,Detroit,CanAm Bench Press Championships
Wade Likens,M,B,Raw,39,35-39,,M_SR_AAPF,,140+,,,,,,,,,,242.5,,,,,,242.5,1,,,,,Yes,USA,,WPC,WPC,7/21/2012,USA,MI,Romulus,CanAm Bench Press Championships
Wade Likens,M,B,Raw,39,35-39,,M_OR_AAPF,,140+,,,,,,,,,,242.5,,,,,,242.5,1,,,,,Yes,USA,,WPC,WPC,7/21/2012,USA,MI,Romulus,CanAm Bench Press Championships
Wade Likens,M,B,Raw,,,,M_SR_APF,140,140,,,,,,,,,,,,,,,,,DQ,,,,,,USA,,APF,WPC,5/18/2013,USA,,,Master Submaster Jr & Teen Nationals
Wade Likens,M,SBD,Single-ply,,,,Open,,125+,,,,,300,,,,,175,,,,,265,740,2,,,,,,USA,,USPF,,8/15/1998,USA,NJ,Mt. Laurel,Senior Nationals
Wade Likens,M,SBD,Multi-ply,,,,Open,140,140,,,,,290.3,,,,,213.19,,,,,281.23,784.72,2,430.04,438.51,416.81,71.91,,USA,,APF,WPC,9/13/1997,USA,OH,Zanesvilee,Iron House Classic
